DATASET_SIMPLEBAR
#In simple bar charts, each ID is associated to a single numeric value which is displayed as a bar outside the tree.
#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file.
#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL,label 1

#dataset color (can be changed later)
COLOR,#ff0000

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#

#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#
#dataset scale: you can simply set the values where the scale will be drawn
#DATASET_SCALE,2000,10000,20000

#or you can specify value, label, color, width, style and label size factor for each scale line (dash separated, format: VALUE-LABEL-COLOR-WIDTH-DASHED-LABEL_SCALE_FACTOR))
#DATASET_SCALE,2000-2k line-#0000ff-5-1-1,10000-line at 10k-#ff0000-1-0-2,20000-3rd line-#00ff00-5-1-1

#Each dataset can have a legend, which is defined using LEGEND_XXX fields below
#For each row in the legend, there should be one shape, color and label.
#Optionally, you can define an exact legend position using LEGEND_POSITION_X and LEGEND_POSITION_Y. To use automatic legend positioning, do NOT define these values
#Optionally, shape scaling can be present (LEGEND_SHAPE_SCALES). For each shape, you can define a scaling factor between 0 and 1.
#To order legend entries horizontally instead of vertically, set LEGEND_HORIZONTAL to 1
#Shape should be a number between 1 and 6, or any protein domain shape definition.
#1: square
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
#6: checkmark

#LEGEND_TITLE,Dataset legend
#LEGEND_SCALE,1
#LEGEND_POSITION_X,100
#LEGEND_POSITION_Y,100
#LEGEND_HORIZONTAL,0
#LEGEND_SHAPES,1,2,3
#LEGEND_COLORS,#ff0000,#00ff00,#0000ff
#LEGEND_LABELS,value1,value2,value3
#LEGEND_SHAPE_SCALES,1,1,0.5


#maximum width
#WIDTH,1000

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
#MARGIN,0

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
#SHOW_INTERNAL,0

#show dashed lines between leaf labels and the dataset
#DASHED_LINES,1

#bar height factor; Default bar height will be slightly less than the available space between leaves, but you can set a multiplication factor here to increase/decrease it (values from 0 to 1 will decrease it, values above 1 will increase it)
#HEIGHT_FACTOR,1

#Display individual values above the bars
#SHOW_VALUE,0

#Display custom bar labels, when defined. The label can be specified after the numeric value in the DATA section below.
#SHOW_LABELS,0

#Position of the value or custom label, relative to the bar (when SHOW_VALUE or SHOW_LABELS are set to 1)
#can be one of: outside-right, outside-left, left, center, right
#LABEL_POSITION,outside-right

#shift all labels horizontally and/or vertically
#LABEL_SHIFT_X,0
#LABEL_SHIFT_Y,0

#add a colored outline to the label font; useful when displaying labels over similarly colored boxes (e.g. black font on a dark box)
#LABEL_OUTLINE_WIDTH,0
#LABEL_OUTLINE_COLOR,#ffffff

#multiply the size of all labels by this factor
#LABEL_SIZE_FACTOR,1


#Bars are aligned to the node lines by default. Using BAR_SHIFT, you can move them all up/down by a fixed amount
#BAR_SHIFT,0

#BAR_ZERO specifies which dataset value will be used as a starting point for drawing the bars. Dataset values smaller than BAR_ZERO will be displayed to the left (possibly overlapping the tree, unless MARGIN is increased)
#BAR_ZERO,0

#border width; if set above 0, a border of specified width (in pixels) will be drawn around the bars
#BORDER_WIDTH,0

#border color; used when BORDER_WIDTH is above 0
#BORDER_COLOR,#0000ff

#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
#only numeric values are required for each ID, custom labels can be optionally provided as the second field (shown when SHOW_LABELS is set to 1) 
DATA
TE_00000000,146
TE_00000001,91
TE_00000002,51
TE_00000003,33
TE_00000004,53
TE_00000005,54
TE_00000006,2
TE_00000007,5
TE_00000008,20
TE_00000010,8
TE_00000011,4
TE_00000013,34
TE_00000014,288
TE_00000016,10
TE_00000017,29
TE_00000018,8
TE_00000019,19
TE_00000020,11
TE_00000021,26
TE_00000023,1
TE_00000026,16
TE_00000027_INT,109
TE_00000028,27
TE_00000029,61
TE_00000030,32
TE_00000031,87
TE_00000032,195
TE_00000033,235
TE_00000034,54
TE_00000037,8
TE_00000040,82
TE_00000041,91
TE_00000042,14
TE_00000043,24
TE_00000044,9
TE_00000045,21
TE_00000046,6
TE_00000047,8
TE_00000048,1
TE_00000049,274
TE_00000050,2
TE_00000051,1
TE_00000052,19
TE_00000053,64
TE_00000054,19
TE_00000056,1
TE_00000057,2
TE_00000058,1
TE_00000060,9
TE_00000062,2
TE_00000063,2
TE_00000064,1
TE_00000069,9
TE_00000070,57
TE_00000071,7
TE_00000072,63
TE_00000075,1
TE_00000076,36
TE_00000078,95
TE_00000079,26
TE_00000080,29
TE_00000081,1
TE_00000082,21
TE_00000083,18
TE_00000084,1
TE_00000085,4
TE_00000086,2
TE_00000087,69
TE_00000089,20
TE_00000090,4
TE_00000091,5
TE_00000092,70
TE_00000093,26
TE_00000094,41
TE_00000096,1
TE_00000097,5
TE_00000098,50
TE_00000099,3
TE_00000102,14
TE_00000103,4
TE_00000104_INT,10
TE_00000105,28
TE_00000106,10
TE_00000107,62
TE_00000108,6
TE_00000112,1
TE_00000113,1
TE_00000115,28
TE_00000116,1
TE_00000118,1
TE_00000119,2
TE_00000120,98
TE_00000121,9
TE_00000122,5
TE_00000123,17
TE_00000124,3
TE_00000125,19
TE_00000126,41
TE_00000129,13
TE_00000133,10
TE_00000135,23
TE_00000136,105
TE_00000138,18
TE_00000140,5
TE_00000141,3
TE_00000142,342
TE_00000143,43
TE_00000144,6
TE_00000145,120
TE_00000146,44
TE_00000148,72
TE_00000149,20
TE_00000150,15
TE_00000151,57
TE_00000152,7
TE_00000153,62
TE_00000154,20
TE_00000155,121
TE_00000156,39
TE_00000157,111
TE_00000158,116
TE_00000159,29
TE_00000160,19
TE_00000161,4
TE_00000162,37
TE_00000163,1
TE_00000164,6
TE_00000165,8
TE_00000166,20
TE_00000167,9
TE_00000168,46
TE_00000169,32
TE_00000170,230
TE_00000171,153
TE_00000172,96
TE_00000173,136
TE_00000174,45
TE_00000175,35
TE_00000179,2
TE_00000180,1
TE_00000181,4
TE_00000182,4
TE_00000183,5
TE_00000184,4
TE_00000185,40
TE_00000186,2
TE_00000187,65
TE_00000188,28
TE_00000189,79
TE_00000190,259
TE_00000191,24
TE_00000192,11
TE_00000193,43
TE_00000196,2
TE_00000198,13
TE_00000199,2
TE_00000200,1
TE_00000201,1
TE_00000202,31
TE_00000203,3
TE_00000205,13
TE_00000206,2
TE_00000207,48
TE_00000208,53
TE_00000209,2
TE_00000210,15
TE_00000211,105
TE_00000212,258
TE_00000213_INT,42
TE_00000214,65
TE_00000215,85
TE_00000216,29
TE_00000217,85
TE_00000218,21
TE_00000219,147
TE_00000220,203
TE_00000221,222
TE_00000222,84
TE_00000225,18
TE_00000227,98
TE_00000228,1
TE_00000229,15
TE_00000230,6
TE_00000231,5
TE_00000232,29
TE_00000233,37
TE_00000234,5
TE_00000235,5
TE_00000236,11
TE_00000237,6
TE_00000239,9
TE_00000241,2
TE_00000242,10
TE_00000243,5
TE_00000244,5
TE_00000245,7
TE_00000246,8
TE_00000247,2
TE_00000248,54
TE_00000249,13
TE_00000250,24
TE_00000251,17
TE_00000252,41
TE_00000253,129
TE_00000254,33
TE_00000255_INT,129
TE_00000256,81
TE_00000257,4
TE_00000258,172
TE_00000259,1
TE_00000261,14
TE_00000262,2
TE_00000263,3
TE_00000264,8
TE_00000265,5
TE_00000266,6
TE_00000267,2
TE_00000268,13
TE_00000269,128
